id,sender_id,recipient_id,conversation_id,content,image_url,audio_url,read_at,created_at
0108ed38-e7bc-4583-9670-0a742f02076f,8798340d-7df4-4160-942a-5d222ea427b6,77a8ce0b-620d-4c24-b1e6-9e3cfcc6e174,,Great work with your web dev,,,2026-03-30 02:20:54.663+00,2026-03-10 17:38:13.841845+00
012c2c5e-9143-4953-85db-cc9b88597421,8798340d-7df4-4160-942a-5d222ea427b6,a016d26c-04f6-4c93-ab7c-28a031139de6,,"Yeah. Students don't really use Facebook a lot. Also, scholarshipregion may be our last bet",,,2026-03-05 18:38:49.96+00,2026-03-04 07:03:16.495448+00
0315d461-e7d3-49d1-a88e-765ae116cce0,8798340d-7df4-4160-942a-5d222ea427b6,8798340d-7df4-4160-942a-5d222ea427b6,,"🛒 [ORDER SUMMARY]
Item: food guru

• 1x yam (₦600)

Total: ₦600

Hi! I'd like to place this order. Is it available for delivery/pickup?

[Ref: dc09e9f2-6ee8-400d-9834-9480eea3ccf9]",,,2026-04-28 13:03:47.51+00,2026-04-28 13:03:47.384456+00
03748980-c9d0-4b56-97aa-520e3fe3939e,8138f3c9-3fbc-4c13-94c8-cbc2b77b1350,8798340d-7df4-4160-942a-5d222ea427b6,,Senior man,,,2026-03-11 09:38:47.759+00,2026-03-10 22:14:46.150287+00
0564a118-fd4f-4b78-a13c-a1d69c50eccc,a016d26c-04f6-4c93-ab7c-28a031139de6,27d1ad60-6d73-439d-b4b2-4a1827371c24,,Hi bro,,,2026-03-02 21:52:30.021+00,2026-02-21 20:10:29.739572+00
09209257-2767-4750-b775-c3d63e941f0e,a016d26c-04f6-4c93-ab7c-28a031139de6,8798340d-7df4-4160-942a-5d222ea427b6,,In placw of Facebook and scholars region?,,,2026-03-04 07:02:32.503+00,2026-03-04 05:23:01.707863+00
0c0255f2-25e9-4ad3-9778-9051238c8acf,8798340d-7df4-4160-942a-5d222ea427b6,33c75afb-3e5a-4171-83de-8f915691c513,,How far,,,2026-04-06 16:16:30.39+00,2026-04-06 16:10:57.375648+00
0f3a5dec-c585-4a2c-a22b-100c89541d4e,8798340d-7df4-4160-942a-5d222ea427b6,5551f4be-68fe-4bbb-b267-f95211d71f1d,,Omo! This notification system dey vex me,,,2026-04-06 16:18:55.594+00,2026-04-06 16:17:17.212104+00
1c0be665-3a67-4a46-a41c-2c11a5b4cab7,8798340d-7df4-4160-942a-5d222ea427b6,a68689c1-dd51-4307-a0ba-730e7f589391,,"Hey ",,,2026-03-24 10:03:21.927+00,2026-03-23 14:32:34.18385+00
1c1945f7-d65a-46e2-9e45-483862ccbb4a,8798340d-7df4-4160-942a-5d222ea427b6,489f1033-9fdf-4cb6-969d-a3f35ae1a2c8,,How far na,,,2026-03-14 11:33:34.082+00,2026-03-14 11:16:42.233086+00
1e4487d8-aceb-40b7-bb67-19a70396b958,8798340d-7df4-4160-942a-5d222ea427b6,8e1d27c4-f95e-4daa-81c2-c759368d7da5,,"Hehe ",,,,2026-03-14 13:31:51.880589+00
1fb0c6a9-bb44-433c-94f4-0cb9c938384b,8798340d-7df4-4160-942a-5d222ea427b6,a016d26c-04f6-4c93-ab7c-28a031139de6,,amarachi and i talked. we wanted to use tiktok ads booster,,,2026-03-04 05:21:48.67+00,2026-03-03 13:29:00.66755+00
246b6a7d-02e7-42e8-b207-91226e56d0d5,8798340d-7df4-4160-942a-5d222ea427b6,a68689c1-dd51-4307-a0ba-730e7f589391,,I'm good. Happy Sunday😂,,,,2026-04-05 06:53:26.099193+00
